1440;Ale kommun;ale.se
1489;Alingsås kommun;alingsas.se
0764;Alvesta kommun;alvesta.se
0604;Aneby kommun;aneby.se
1984;Arboga kommun;arboga.se
2506;Arjeplogs kommun;arjeplog.se
2505;Arvidsjaurs kommun;arvidsjaur.se
1784;Arvika kommun;arvika.se
1882;Askersunds kommun;askersund.se
2084;Avesta kommun;avesta.se
1460;Bengtsfors kommun;bengtsfors.se
2326;Bergs kommun;berg.se
2403;Bjurholms kommun;bjurholm.se
1260;Bjuvs kommun;bjuv.se
2582;Bodens kommun;boden.se
1443;Bollebygds kommun;bollebygd.se
2183;Bollnäs kommun;bollnas.se
0885;Borgholms kommun;borgholm.se
2081;Borlänge kommun;borlange.se
1490;Borås stad;boras.se
0127;Botkyrka kommun;botkyrka.se
0560;Boxholms kommun;boxholm.se
1272;Bromölla kommun;bromolla.se
2305;Bräcke kommun;bracke.se
1231;Burlövs kommun;burlov.se
1278;Båstads kommun;bastad.se
1438;Dals-Eds kommun;dalsed.se
0162;Danderyds kommun;danderyd.se
1862;Degerfors kommun;degerfors.se
2425;Dorotea kommun;dorotea.se
1730;Eda kommun;eda.se
0125;Ekerö kommun;ekero.se
0686;Eksjö kommun;eksjo.se
0862;Emmaboda kommun;emmaboda.se
0381;Enköpings kommun;enkoping.se
0484;Eskilstuna kommun;eskilstuna.se
1285;Eslövs kommun;eslov.se
1445;Essunga kommun;essunga.se
1982;Fagersta kommun;fagersta.se
1382;Falkenbergs kommun;falkenberg.se
1499;Falköpings kommun;falkoping.se
2080;Falun kommun;falun.se
1782;Filipstads kommun;filipstad.se
0562;Finspångs kommun;finspong.se
0482;Flens kommun;flen.se
1763;Forshaga kommun;forshaga.se
1439;Färgelanda kommun;fargelanda.se
2026;Gagnefs kommun;gagnef.se
0662;Gislaveds kommun;gislaved.se
0461;Gnesta kommun;gnesta.se
0617;Gnosjö kommun;gnosjo.se
0980;Gotlands kommun;gotland.se
1764;Grums kommun;grums.se
1444;Grästorps kommun;grastorp.se
1447;Gullspångs kommun;gullspang.se
2523;Gällivare kommun;gellivare.se
