fingerprint (web1-srv.arboga.se., 217.175.119.20): No match found  
fingerprint (public.bengtsfors.se., 194.17.153.4): Microsoft Windows DNS 2000  
fingerprint (ns.bjurholm.se., 80.88.100.139): ISC BIND 8.1-REL -- 8.2.1-T4B [recursion enabled]  
fingerprint (ns.boden.se., 193.45.58.100): TIMEOUT  
fingerprint (ns2.boden.se., 193.45.58.112): TIMEOUT  
fingerprint (ns4.norrnet.com., 77.110.51.196): ISC BIND 9.2.3rc1 -- 9.4.0a0 [recursion enabled]  
fingerprint (dns.botkyrka.se., 62.119.155.254): ISC BIND 8.1-REL -- 8.2.1-T4B [recursion enabled]  
fingerprint (ns2.bjare.net., 217.9.208.194): ISC BIND 9.2.3rc1 -- 9.4.0a0 [recursion enabled]  
fingerprint (ns.dalsed.se., 194.17.155.190): ISC BIND 8.1-REL -- 8.2.1-T4B [recursion enabled]  
fingerprint (ns.degerfors.se., 81.216.17.95): ISC BIND 8.1-REL -- 8.2.1-T4B [recursion enabled]  
fingerprint (ns.eda.se., 195.84.194.130): Runtop dsl/cable   
fingerprint (ns.pulsen.se., 194.236.49.125): Microsoft Windows DNS 2000  
fingerprint (dns2.utfors.se., 195.58.103.111): ISC BIND 9.2.3rc1 -- 9.4.0a0 [recursion enabled]  
fingerprint (dns.fagersta.se., 194.17.220.70): Microsoft Windows DNS 2000  
fingerprint (ns1.flen.se., 194.23.252.70): No match found  
fingerprint (ns.gotland.se., 193.180.228.194): ISC BIND 8.2.2-P3 -- 8.3.0-T2A [recursion enabled]  
fingerprint (ns1.mteab.net., 80.254.240.18): Cisco CNR   
fingerprint (ns.gullspang.se., 80.254.244.194): ISC BIND 8.2.2-P3 -- 8.3.0-T2A [recursion enabled]  
fingerprint (ns.mariestad.se., 80.254.244.194): ISC BIND 8.2.2-P3 -- 8.3.0-T2A [recursion enabled]  
fingerprint (ns.mariestad.se., 80.254.244.135): TIMEOUT  
fingerprint (ns.habo.net., 80.244.198.5): ISC BIND 9.2.3rc1 -- 9.4.0a0 [recursion enabled]  
fingerprint (yggdrasil.haparanda.se., 194.117.170.10): ISC BIND 9.2.3rc1 -- 9.4.0a0 [recursion enabled]  
fingerprint (ns.haparanda.se., 194.117.170.34): ISC BIND 9.2.3rc1 -- 9.4.0a0 [recursion enabled]  
fingerprint (hbgstad.helsingborg.se., 193.180.104.10): ISC BIND 9.2.0rc7 -- 9.2.2-P3 [recursion enabled]  
fingerprint (NS1.oresundskraft.se., 80.89.160.20): ISC BIND 9.1.0 -- 9.1.3 [recursion enabled]  
fingerprint (ns2.hofors.se., 87.255.160.10): Microsoft Windows DNS 2000  
fingerprint (ns.hofors.se., 87.255.160.20): TIMEOUT  
fingerprint (hkdns2.hultsfred.se., 194.17.160.17): ISC BIND 9.2.0rc7 -- 9.2.2-P3 [recursion enabled]  
fingerprint (ns.harnosand.se., 83.166.23.9): No match found  
fingerprint (ns.pulsen.se., 194.236.49.125): Microsoft Windows DNS 2000  
fingerprint (ns.hassleholm.se., 194.71.179.2): ISC BIND 8.1-REL -- 8.2.1-T4B [recursion enabled]  
fingerprint (dns1.jokkmokk.se., 195.196.91.230): No match found  
fingerprint (dns2.carlsborg.net., 80.68.112.200): ISC BIND 9.2.0rc7 -- 9.2.2-P3 [recursion enabled]  
fingerprint (ns.karlsborg.se., 80.68.117.2): ISC BIND 8.1-REL -- 8.2.1-T4B [recursion enabled]  
fingerprint (ns.karlskoga.se., 195.22.74.2): ISC BIND 8.1-REL -- 8.2.1-T4B [recursion enabled]  
fingerprint (ns.kumla.se., 194.103.202.4): ISC BIND 8.2.2-P3 -- 8.3.0-T2A [recursion enabled]  
fingerprint (ns1.kungalv.se., 193.12.94.6): No match found  
fingerprint (ns.laholm.se., 194.237.148.142): ISC BIND 8.1-REL -- 8.2.1-T4B [recursion enabled]  
fingerprint (munken.landskrona.se., 193.13.15.3): ISC BIND 8.1-REL -- 8.2.1-T4B [recursion enabled]  
fingerprint (ns.landskrona.net., 193.13.15.11): ISC BIND 8.1-REL -- 8.2.1-T4B [recursion enabled]  
fingerprint (ns1.datahalland.se., 195.67.65.131): ISC BIND 9.2.3rc1 -- 9.4.0a0 [recursion enabled]  
fingerprint (ns2.datahalland.se., 193.188.248.81): ISC BIND 9.2.3rc1 -- 9.4.0a0 [recursion enabled]  
fingerprint (ns.lycksele.se., 81.8.128.5): ISC BIND 8.1-REL -- 8.2.1-T4B [recursion enabled]  
fingerprint (ns1.malmo.se., 161.52.15.201): No match found  
fingerprint (dns1.podata.se., 91.123.194.16): ISC BIND 9.2.3rc1 -- 9.4.0a0 [recursion enabled]  
fingerprint (ns.mariestad.se., 80.254.244.135): TIMEOUT  
fingerprint (ns.mariestad.se., 80.254.244.194): ISC BIND 8.2.2-P3 -- 8.3.0-T2A [recursion enabled]  
fingerprint (ns1.mteab.net., 80.254.240.18): Cisco CNR   
fingerprint (ns.mellerud.se., 194.17.152.2): ISC BIND 8.2.2-P3 -- 8.3.0-T2A [recursion enabled]  
fingerprint (ns.mjolby.se., 195.198.72.130): ISC BIND 8.1-REL -- 8.2.1-T4B [recursion enabled]  
fingerprint (ns2.fogdata.se., 194.68.222.136): ISC BIND 8.3.0-RC1 -- 8.4.4 [recursion enabled]  
fingerprint (ns.fogdata.se., 194.68.222.163): ISC BIND 8.3.0-RC1 -- 8.4.4 [recursion enabled]  
fingerprint (dns1.munkedal.se., 194.16.179.114): TIMEOUT  
fingerprint (ns.pulsen.se., 194.236.49.125): Microsoft Windows DNS 2000  
fingerprint (gatekeeper.norberg.se., 195.67.55.196): No match found  
fingerprint (ns1.nordanstig.se., 195.22.88.12): ISC BIND 9.2.3rc1 -- 9.4.0a0 [recursion enabled]  
fingerprint (gatekeeper.norrkoping.se., 193.235.87.109): ISC BIND 9.2.3rc1 -- 9.4.0a0 [recursion enabled]  
fingerprint (ns.norrtalje.se., 62.20.76.130): ISC BIND 8.1-REL -- 8.2.1-T4B [recursion enabled]  
fingerprint (ns.norsjo.se., 80.88.98.139): No match found  
fingerprint (nybro.nybro.se., 194.237.86.180): Microsoft Windows DNS 2000  
fingerprint (ns2.visionutv.se., 194.218.238.3): ISC BIND 9.2.3rc1 -- 9.4.0a0 [recursion enabled]  
fingerprint (ns3.visionutv.se., 82.182.160.68): ISC BIND 9.2.0rc7 -- 9.2.2-P3 [recursion enabled]  
fingerprint (ns4.visionutv.se., 194.146.169.26): ISC BIND 9.2.0rc7 -- 9.2.2-P3 [recursion enabled]  
fingerprint (ns.visionutv.se., 194.218.238.138): ISC BIND 9.2.0rc7 -- 9.2.2-P3 [recursion enabled]  
fingerprint (ns2.oskarnet.se., 217.140.112.10): ISC BIND 9.2.3rc1 -- 9.4.0a0 [recursion enabled]  
fingerprint (dns.pitea.se., 195.196.144.4): Microsoft Windows DNS 2003  
fingerprint (ns.sigtuna.se., 62.20.108.18): ISC BIND 8.2.2-P3 -- 8.3.0-T2A [recursion enabled]  
fingerprint (dns.skinnskatteberg.se., 82.209.165.166): Microsoft Windows DNS 2000  
fingerprint (ns.storuman.se., 80.88.99.75): ISC BIND 8.1-REL -- 8.2.1-T4B [recursion enabled]  
fingerprint (ns3.lidnet.net., 212.112.34.23): ISC BIND 9.2.3rc1 -- 9.4.0a0 [recursion enabled]  
fingerprint (ns.stromstad.se., 194.71.159.2): ISC BIND 8.1-REL -- 8.2.1-T4B [recursion enabled]  
fingerprint (dns1.tanum.se., 194.68.124.12): No match found  
fingerprint (ns.sundsvall.se., 194.71.24.10): ISC BIND 8.2.2-P3 -- 8.3.0-T2A [recursion enabled]  
fingerprint (dns2.cenara.com., 193.111.152.3): ISC BIND 9.2.0rc7 -- 9.2.2-P3 [recursion enabled]  
fingerprint (ns1.svalov.se., 83.209.64.116): ISC BIND 9.2.3rc1 -- 9.4.0a0 [recursion enabled]  
fingerprint (ns2.svalov.se., 83.209.64.115): ISC BIND 9.2.3rc1 -- 9.4.0a0 [recursion enabled]  
fingerprint (ns.saffle.se., 195.84.66.2): Microsoft Windows DNS 2000  
fingerprint (ns.wineasy.se., 195.42.198.5): ISC BIND 9.2.3rc1 -- 9.4.0a0  
fingerprint (ns.savsjo.se., 88.206.208.193): ISC BIND 8.1-REL -- 8.2.1-T4B [recursion enabled]  
fingerprint (ns.soderkoping.se., 195.67.51.130): ISC BIND 8.1-REL -- 8.2.1-T4B [recursion enabled]  
fingerprint (ns.stromstad.se., 194.71.159.2): ISC BIND 8.1-REL -- 8.2.1-T4B [recursion enabled]  
fingerprint (dns1.tanum.se., 194.68.124.12): TIMEOUT  
fingerprint (ns.timra.se., 212.37.24.5): ISC BIND 9.2.3rc1 -- 9.4.0a0 [recursion enabled]  
fingerprint (ns.toreboda.se., 80.254.244.194): ISC BIND 8.2.2-P3 -- 8.3.0-T2A [recursion enabled]  
fingerprint (ns.mariestad.se., 80.254.244.194): ISC BIND 8.2.2-P3 -- 8.3.0-T2A [recursion enabled]  
fingerprint (ns.mariestad.se., 80.254.244.135): TIMEOUT  
fingerprint (ns1.mteab.net., 80.254.240.18): Cisco CNR   
fingerprint (idefix.uddevalla.se., 195.198.127.20): ISC BIND 4.9.3 -- 4.9.11  
fingerprint (dns.ulricehamn.se., 81.200.163.43): ISC BIND 9.2.0rc7 -- 9.2.2-P3 [recursion enabled]  
fingerprint (cnr.ueab.se., 81.200.163.86): Cisco CNR   
fingerprint (ns.upplandsvasby.se., 194.116.212.2): ISC BIND 8.2.2-P3 -- 8.3.0-T2A [recursion enabled]  
fingerprint (ns.steria.nu., 192.71.85.8): No match found  
fingerprint (dns2.wasadata.com., 193.15.177.98): ISC BIND 8.3.0-RC1 -- 8.4.4 [recursion enabled]  
fingerprint (websrv1.wasadata.com., 193.15.177.99): ISC BIND 8.3.0-RC1 -- 8.4.4 [recursion enabled]  
fingerprint (ns.valdemarsvik.se., 62.20.65.164): ISC BIND 8.1-REL -- 8.2.1-T4B [recursion enabled]  
fingerprint (ns.vallentuna.se., 195.67.32.98): No match found  
fingerprint (nub.vansbro.se., 194.23.140.10): ISC BIND 8.3.0-RC1 -- 8.4.4 [recursion local]  
fingerprint (gms.vara.se., 193.44.2.140): No match found  
fingerprint (ns.vetlanda.se., 195.67.33.109): ISC BIND 8.2.2-P3 -- 8.3.0-T2A [recursion enabled]  
fingerprint (ns.vilhelmina.se., 81.8.160.254): No match found  
fingerprint (ns.vargarda.se., 212.247.53.189): ISC BIND 8.1-REL -- 8.2.1-T4B [recursion enabled]  
fingerprint (blade.vastervik.se., 194.236.51.179): ISC BIND 8.2.2-P3 -- 8.3.0-T2A [recursion enabled]  
fingerprint (netra.vastervik.se., 194.236.51.178): ISC BIND 8.1-REL -- 8.2.1-T4B [recursion enabled]  
fingerprint (ns1.serva.net., 83.166.0.133): ISC BIND 9.2.3rc1 -- 9.4.0a0 [recursion enabled]  
fingerprint (ns2.serva.net., 195.22.74.199): ISC BIND 9.2.0rc7 -- 9.2.2-P3 [recursion enabled]  
fingerprint (dns.asele.se., 80.88.117.235): ISC BIND 9.2.3rc1 -- 9.4.0a0 [recursion enabled]  
fingerprint (ns.pulsen.se., 194.236.49.125): Microsoft Windows DNS 2000  
fingerprint (ns2.borderlight.net., 217.142.7.69): ISC BIND 9.2.3rc1 -- 9.4.0a0 [recursion enabled]  
fingerprint (ns.alvkarleby.se., 217.142.128.2): ISC BIND 8.2.2-P3 -- 8.3.0-T2A [recursion enabled]  
fingerprint (ns2.thalamus.net., 212.31.160.129): ISC BIND 9.2.3rc1 -- 9.4.0a0 [recursion enabled]  
fingerprint (ns3.thalamus.net., 212.181.9.186): ISC BIND 9.2.3rc1 -- 9.4.0a0 [recursion enabled]  
fingerprint (ns1.thalamus.net., 212.31.160.1): ISC BIND 9.2.3rc1 -- 9.4.0a0 [recursion enabled]  
fingerprint (dmzse-dns2.osthammar.se., 192.165.44.201): No match found  
fingerprint (dmzse-dns1.osthammar.se., 192.165.44.200): No match found  
