area005;Alajärvi kommun;alajarvi.fi
area009;Alavieska kommun;alavieska.fi
area010;Alavus kommun;alavus.fi
area016;Asikkala kommun;asikkala.fi
area018;Askola kommun;askola.fi
area019;Aura kommun;aura.fi
area035;Brändö kommun;brando.ax
area043;Eckerö kommun;eckero.ax
area046;Enonkoski kommun;enonkoski.fi
area047;Enontekiö kommun;enontekio.fi
area049;Espoo kommun;espoo.fi
area050;Eura kommun;eura.fi
area051;Eurajoki kommun;eurajoki.fi
area052;Evijärvi kommun;evijarvi.fi
area060;Finström kommun;finstrom.ax
area061;Forssa kommun;forssa.fi
area062;Föglö kommun;foglo.ax
area065;Geta kommun;geta.ax
area069;Haapajärvi kommun;haapajarvi.fi
area071;Haapavesi kommun;haapavesi.fi
area072;Hailuoto kommun;hailuoto.fi
area074;Halsua kommun;halsua.fi
area075;Hamina kommun;hamina.fi
area076;Hammarland kommun;hammarland.ax
area077;Hankasalmi kommun;hankasalmi.fi
area078;Hanko kommun;hanko.fi
area079;Harjavalta kommun;harjavalta.fi
area081;Hartola kommun;hartola.fi
area082;Hattula kommun;hattula.fi
area086;Hausjärvi kommun;hausjarvi.fi
area090;Heinävesi kommun;heinavesi.fi
area091;Helsinki kommun;hel.fi
area092;Vantaa kommun;vantaa.fi
area097;Hirvensalmi kommun;hirvensalmi.fi
area098;Hollola kommun;hollola.fi
area099;Honkajoki kommun;honkajoki.fi
area102;Huittinen kommun;huittinen.fi
area103;Humppila kommun;humppila.fi
area105;Hyrynsalmi kommun;hyrynsalmi.fi
area106;Hyvinkää kommun;hyvinkaa.fi
area108;Hämeenkyrö kommun;hameenkyro.fi
area109;Hämeenlinna kommun;hameenlinna.fi
area139;Ii kommun;ii.fi
area140;Iisalmi kommun;iisalmi.fi
area142;Iitti kommun;iitti.fi
area143;Ikaalinen kommun;ikaalinen.fi
area145;Ilmajoki kommun;ilmajoki.fi
area146;Ilomantsi kommun;ilomantsi.fi
area148;Inari kommun;inari.fi
area149;Inkoo kommun;inga.fi
area151;Isojoki kommun;isojoki.fi
area152;Isokyrö kommun;isokyro.fi
area153;Imatra kommun;imatra.fi
area164;Jalasjärvi kommun;jalasjarvi.fi
area165;Janakkala kommun;janakkala.fi
