1627;Bjugn kommun;bjugn.kommune.no
1624;Rissa kommun;rissa.kommune.no
1718;Leksvik kommun;leksvik.kommune.no
1717;Frosta kommun;frosta.kommune.no
1576;Aure kommun;aure.kommune.no
1663;Malvik kommun;malvik.kommune.no
1548;Fræna kommun;frana.kommune.no
1547;Aukra kommun;aukra.kommune.no
1546;Sandøy kommun;sandoy.kommune.no
1560;Tingvoll kommun;tingvoll.kommune.no
1665;Tydal kommun;tydal.kommune.no
1644;Holtålen kommun;holtalen.kommune.no
1515;Herøy kommun;heroy.kommune.no
1514;Sande kommun;sande.kommune.no
1523;Ørskog kommun;orskog.kommune.no
441;Os kommun;os.kommune.no
1528;Sykkylven kommun;sykkylven.kommune.no
1520;Ørsta kommun;orsta.kommune.no
1439;Vågsøy kommun;vagsoy.kommune.no
1438;Bremanger kommun;bremanger.kommune.no
438;Alvdal kommun;alvdal.kommune.no
1401;Flora kommun;flora.kommune.no
1433;Naustdal kommun;naustdal.kommune.no
1428;Askvoll kommun;askvoll.kommune.no
1432;Førde kommun;forde.kommune.no
1420;Sogndal kommun;sogndal.kommune.no
1418;Balestrand kommun;balestrand.kommune.no
1412;Solund kommun;solund.kommune.no
1413;Hyllestad kommun;hyllestad.kommune.no
545;Vang kommun;vang.kommune.no
1419;Leikanger kommun;leikanger.kommune.no
1417;Vik kommun;vik.kommune.no
1265;Fedje kommun;fedje.kommune.no
618;Hemsedal kommun;hemsedal.kommune.no
1259;Øygarden kommun;oygarden.kommune.no
1253;Osterøy kommun;osteroy.kommune.no
1247;Askøy kommun;askoy.kommune.no
1256;Meland kommun;meland.kommune.no
536;SøndreLand kommun;sondreland.kommune.no
1234;Granvin kommun;granvin.kommune.no
615;Flå kommun;fla.kommune.no
1245;Sund kommun;sund.kommune.no
1243;Os kommun;os.kommune.no
534;Gran kommun;gran.kommune.no
239;Hurdal kommun;hurdal.kommune.no
1244;Austevoll kommun;austevoll.kommune.no
532;Jevnaker kommun;jevnaker.kommune.no
622;Krødsherad kommun;krodsherad.kommune.no
238;Nannestad kommun;nannestad.kommune.no
1222;Fitjar kommun;fitjar.kommune.no
1219;Bømlo kommun;bomlo.kommune.no
2023;Gamvik kommun;gamvik.kommune.no
2019;Nordkapp kommun;nordkapp.kommune.no
2024;Berlevåg kommun;berlevag.kommune.no
2018;Måsøy kommun;masoy.kommune.no
2015;Hasvik kommun;hasvik.kommune.no
2020;Porsanger kommun;porsanger.kommune.no
1941;Skjervøy kommun;skjervoy.kommune.no
1940;Kåfjord kommun;kafjord.kommune.no
1929;Berg kommun;berg.kommune.no
1915;Bjarkøy kommun;bjarkoy.kommune.no
1925;Sørreisa kommun;sorreisa.kommune.no
1901;Harstad kommun;harstad.kommune.no
1867;Bø kommun;bo.kommune.no
1917;Ibestad kommun;ibestad.kommune.no
1919;Gratangen kommun;gratangen.kommune.no
1852;Tjeldsund kommun;tjeldsund.kommune.no
1853;Evenes kommun;evenes.kommune.no
1859;Flakstad kommun;flakstad.kommune.no
1874;Moskenes kommun;moskenes.kommune.no
1857;Værøy kommun;varoy.kommune.no
1856;Røst kommun;rost.kommune.no
1835;Træna kommun;trana.kommune.no
1827;Dønna kommun;donna.kommune.no
1828;Nesna kommun;nesna.kommune.no
1820;Alstahaug kommun;alstahaug.kommune.no
1812;Sømna kommun;somna.kommune.no
1755;Leka kommun;leka.kommune.no
1750;Vikna kommun;vikna.kommune.no
1748;Fosnes kommun;fosnes.kommune.no
1931;Lenvik kommun;lenvik.kommune.no
1928;Torsken kommun;torsken.kommune.no
1871;Andøy kommun;andoy.kommune.no
1933;Balsfjord kommun;balsfjord.kommune.no
1924;Målselv kommun;malselv.kommune.no
1927;Tranøy kommun;tranoy.kommune.no
1868;Øksnes kommun;oksnes.kommune.no
1926;Dyrøy kommun;dyroy.kommune.no
1922;Bardu kommun;bardu.kommune.no
1923;Salangen kommun;salangen.kommune.no
1870;Sortland kommun;sortland.kommune.no
1911;Kvæfjord kommun;kvafjord.kommune.no
1913;Skånland kommun;skanland.kommune.no
1866;Hadsel kommun;hadsel.kommune.no
1860;Vestvågøy kommun;vestvagoy.kommune.no
1848;Steigen kommun;steigen.kommune.no
1804;Bodø kommun;bodo.kommune.no
1840;Saltdal kommun;saltdal.kommune.no
1818;Herøy kommun;heroy.kommune.no
1822;Leirfjord kommun;leirfjord.kommune.no
1815;Vega kommun;vega.kommune.no
1826;Hattfjelldal kommun;hattfjelldal.kommune.no
1811;Bindal kommun;bindal.kommune.no
1739;Røyrvik kommun;royrvik.kommune.no
1743;Høylandet kommun;hoylandet.kommune.no
1749;Flatanger kommun;flatanger.kommune.no
1620;Frøya kommun;froya.kommune.no
1632;Roan kommun;roan.kommune.no
1630;Åfjord kommun;afjord.kommune.no
1729;Inderøy kommun;inderoy.kommune.no
1573;Smøla kommun;smola.kommune.no
1617;Hitra kommun;hitra.kommune.no
1621;Ørland kommun;orland.kommune.no
1613;Snillfjord kommun;snillfjord.kommune.no
1601;Trondheim kommun;trondheim.kommune.no
1657;Skaun kommun;skaun.kommune.no
1571;Halsa kommun;halsa.kommune.no
1636;Meldal kommun;meldal.kommune.no
1441;Selje kommun;selje.kommune.no
1531;Sula kommun;sula.kommune.no
1517;Hareid kommun;hareid.kommune.no
1526;Stordal kommun;stordal.kommune.no
1511;Vanylven kommun;vanylven.kommune.no
511;Dovre kommun;dovre.kommune.no
1444;Hornindal kommun;hornindal.kommune.no
519;Sør-Fron kommun;sor-fron.kommune.no
1134;Suldal kommun;suldal.kommune.no
228;Rælingen kommun;ralingen.kommune.no
220;Asker kommun;asker.kommune.no
828;Seljord kommun;seljord.kommune.no
625;NedreEiker kommun;nedreeiker.kommune.no
1149;Karmøy kommun;karmoy.kommune.no
602;Drammen kommun;drammen.kommune.no
1151;Utsira kommun;utsira.kommune.no
1146;Tysvær kommun;tysvar.kommune.no
121;Rømskog kommun;romskog.kommune.no
138;Hobøl kommun;hobol.kommune.no
123;Spydeberg kommun;spydeberg.kommune.no
829;Kviteseid kommun;kviteseid.kommune.no
119;Marker kommun;marker.kommune.no
822;Sauherad kommun;sauherad.kommune.no
125;Eidsberg kommun;eidsberg.kommune.no
1133;Hjelmeland kommun;hjelmeland.kommune.no
940;Valle kommun;valle.kommune.no
806;Skien kommun;skien.kommune.no
728;Lardal kommun;lardal.kommune.no
831;Fyresdal kommun;fyresdal.kommune.no
1142;Rennesøy kommun;rennesoy.kommune.no
819;Nome kommun;nome.kommune.no
1144;Kvitsøy kommun;kvitsoy.kommune.no
1129;Forsand kommun;forsand.kommune.no
817;Drangedal kommun;drangedal.kommune.no
1046;Sirdal kommun;sirdal.kommune.no
709;Larvik kommun;larvik.kommune.no
118;Aremark kommun;aremark.kommune.no
805;Porsgrunn kommun;porsgrunn.kommune.no
938;Bygland kommun;bygland.kommune.no
1122;Gjesdal kommun;gjesdal.kommune.no
911;Gjerstad kommun;gjerstad.kommune.no
1119;Hå kommun;ha.kommune.no
912;Vegårshei kommun;vegarshei.kommune.no
901;Risør kommun;risor.kommune.no
937;EvjeogHornnes kommun;evjeoghornnes.kommune.no
1101;Eigersund kommun;eigersund.kommune.no
1034;Hægebostad kommun;hagebostad.kommune.no
919;Froland kommun;froland.kommune.no
914;Tvedestrand kommun;tvedestrand.kommune.no
1004;Flekkefjord kommun;flekkefjord.kommune.no
928;Birkenes kommun;birkenes.kommune.no
